Date,Open,High,Low,Close,Adj Close,Volume
2015-01-15,1387.469971,1449.119995,1377.609985,1427.069946,1427.069946,0
2015-01-16,1421.979980,1442.589966,1411.319946,1442.089966,1442.089966,0
2015-01-20,1448.319946,1462.390015,1444.180054,1456.579956,1456.579956,0
2015-01-21,1455.890015,1467.140015,1445.020020,1466.520020,1466.520020,0
2015-01-22,1466.780029,1492.430054,1462.790039,1490.040039,1490.040039,0
2015-01-23,1498.829956,1524.880005,1490.180054,1515.109985,1515.109985,0
2015-01-26,1522.329956,1524.770020,1508.339966,1524.079956,1524.079956,0
2015-01-27,1529.709961,1529.709961,1502.949951,1511.849976,1511.849976,0
2015-01-28,1515.180054,1521.599976,1501.550049,1510.709961,1510.709961,0
2015-01-29,1511.760010,1514.130005,1499.410034,1509.459961,1509.459961,0
2015-01-30,1507.520020,1515.560059,1498.680054,1501.630005,1501.630005,0
2015-02-02,1497.589966,1506.319946,1490.650024,1503.400024,1503.400024,0
2015-02-03,1504.060059,1524.199951,1502.449951,1515.709961,1515.709961,0
2015-02-04,1515.780029,1524.530029,1510.780029,1524.420044,1524.420044,0
2015-02-05,1527.939941,1527.939941,1513.880005,1524.810059,1524.810059,0
2015-02-06,1521.150024,1530.689941,1517.949951,1528.530029,1528.530029,0
2015-02-09,1526.910034,1527.770020,1506.329956,1517.739990,1517.739990,0
2015-02-10,1518.579956,1530.380005,1511.170044,1526.339966,1526.339966,0
2015-02-11,1526.410034,1528.739990,1518.510010,1521.180054,1521.180054,0
2015-02-12,1517.349976,1535.420044,1517.349976,1530.619995,1530.619995,0
2015-02-13,1527.939941,1545.439941,1527.939941,1541.459961,1541.459961,0
2015-02-17,1543.550049,1543.550049,1527.839966,1542.939941,1542.939941,0
2015-02-18,1543.750000,1556.109985,1542.260010,1555.760010,1555.760010,0
2015-02-19,1546.020020,1561.030029,1542.130005,1559.060059,1559.060059,0
2015-02-20,1563.800049,1564.260010,1556.030029,1563.300049,1563.300049,0
2015-02-23,1565.500000,1575.109985,1562.609985,1574.390015,1574.390015,0
2015-02-24,1575.270020,1584.130005,1571.020020,1583.510010,1583.510010,0
2015-02-25,1574.739990,1582.719971,1574.739990,1580.410034,1580.410034,0
2015-02-26,1581.739990,1597.650024,1581.229980,1597.270020,1597.270020,0
2015-02-27,1598.719971,1603.910034,1592.219971,1603.359985,1603.359985,0
2015-03-02,1607.020020,1607.099976,1592.319946,1600.069946,1600.069946,0
2015-03-03,1597.349976,1603.939941,1582.729980,1583.150024,1583.150024,0
2015-03-04,1588.670044,1596.410034,1581.400024,1596.099976,1596.099976,0
2015-03-05,1599.199951,1611.650024,1595.949951,1610.040039,1610.040039,0
2015-03-06,1607.339966,1623.349976,1607.339966,1610.430054,1610.430054,0
2015-03-09,1609.239990,1610.569946,1596.390015,1607.270020,1607.270020,0
2015-03-10,1612.699951,1612.699951,1590.010010,1591.739990,1591.739990,0
2015-03-11,1592.619995,1616.810059,1592.569946,1615.479980,1615.479980,0
2015-03-12,1615.900024,1622.079956,1613.290039,1614.959961,1614.959961,0
2015-03-13,1613.969971,1620.390015,1608.369995,1619.140015,1619.140015,0
2015-03-16,1614.839966,1637.089966,1614.839966,1633.770020,1633.770020,0
2015-03-17,1635.689941,1638.229980,1616.849976,1623.790039,1623.790039,0
2015-03-18,1620.959961,1631.300049,1617.069946,1629.329956,1629.329956,0
2015-03-19,1620.280029,1643.349976,1620.280029,1637.839966,1637.839966,0
2015-03-20,1635.910034,1654.589966,1635.670044,1651.020020,1651.020020,0
2015-03-23,1657.209961,1657.209961,1635.829956,1641.500000,1641.500000,0
2015-03-24,1636.099976,1650.180054,1632.390015,1645.219971,1645.219971,0
2015-03-25,1642.209961,1643.859985,1624.939941,1626.800049,1626.800049,0
2015-03-26,1626.260010,1626.579956,1597.739990,1613.939941,1613.939941,0
2015-03-27,1630.589966,1630.589966,1613.229980,1616.500000,1616.500000,0
2015-03-30,1624.910034,1637.310059,1615.540039,1635.930054,1635.930054,0
2015-03-31,1637.180054,1643.030029,1618.959961,1624.369995,1624.369995,0
2015-04-01,1620.829956,1639.660034,1615.589966,1629.140015,1629.140015,0
2015-04-02,1622.589966,1630.859985,1622.589966,1626.739990,1626.739990,0
2015-04-06,null,null,null,null,null,null
2015-04-07,1625.579956,1656.359985,1625.250000,1653.060059,1653.060059,0
2015-04-08,1654.510010,1659.199951,1650.359985,1651.619995,1651.619995,0
2015-04-09,1657.979980,1672.079956,1651.540039,1671.839966,1671.839966,0
2015-04-10,1674.900024,1688.939941,1671.170044,1688.319946,1688.319946,0
2015-04-13,1687.449951,1692.060059,1681.640015,1689.469971,1689.469971,0
2015-04-14,1694.109985,1694.109985,1675.750000,1682.689941,1682.689941,0
2015-04-15,1685.849976,1697.410034,1682.290039,1693.810059,1693.810059,0
2015-04-16,1681.589966,1693.400024,1674.380005,1678.010010,1678.010010,0
2015-04-17,1678.560059,1680.130005,1647.479980,1649.079956,1649.079956,0
2015-04-20,1646.939941,1664.880005,1646.939941,1662.829956,1662.829956,0
2015-04-21,1675.680054,1684.609985,1665.520020,1671.680054,1671.680054,0
2015-04-22,1669.670044,1681.520020,1659.000000,1671.150024,1671.150024,0
2015-04-23,1676.859985,1679.369995,1656.040039,1664.319946,1664.319946,0
2015-04-24,1653.599976,1676.560059,1653.599976,1669.089966,1669.089966,0
2015-04-27,1671.939941,1687.390015,1657.430054,1685.869995,1685.869995,0
2015-04-28,1686.949951,1687.290039,1650.589966,1660.650024,1660.650024,0
2015-04-29,1659.069946,1669.180054,1623.040039,1623.829956,1623.829956,0
2015-04-30,1631.790039,1631.790039,1607.869995,1617.650024,1617.650024,0
2015-05-01,1605.140015,1617.410034,1605.140015,1612.359985,1612.359985,0
